Life-Stage Group,VitA_RDA (µg/d),VitC_RDA (mg/d),VitD_RDA (µg/d),VitE_RDA (mg/d),VitK_RDA (µg/d),Thiamin_RDA (mg/d),Riboflavin_RDA (mg/d),Niacin_RDA (mg/d),VitB6_RDA (mg/d),Folate_RDA (µg/d),VitB12_RDA (µg/d),PantothenicAcid_RDA (mg/d),Biotin_RDA (µg/d),Choline_RDA (mg/d),VitA_UL (µg/d),VitC_UL (mg/d),VitD_UL (µg/d),VitE_UL (mg/d),VitK_UL (µg/d),Thiamin_UL (mg/d),Riboflavin_UL (mg/d),Niacin_UL (mg/d),VitB6_UL (mg/d),Folate_UL (µg/d),VitB12_UL (µg/d),PantothenicAcid_UL (mg/d),Biotin_UL (µg/d),Choline_UL (mg/d),Calcium_RDA (mg/d),Chromium_RDA (µg/d),Copper_RDA (µg/d),Fluoride_RDA (mg/d),Iodine_RDA (µg/d),Iron_RDA (mg/d),Magnesium_RDA (mg/d),Manganese_RDA (mg/d),Molybdenum_RDA (µg/d),Phosphorus_RDA (mg/d),Selenium_RDA (µg/d),Zinc_RDA (mg/d),Potassium_RDA (mg/d),Sodium_RDA (mg/d),Chloride_RDA (g/d),Calcium_UL (mg/d),Chromium_UL (µg/d),Copper_UL (µg/d),Fluoride_UL (mg/d),Iodine_UL (µg/d),Iron_UL (mg/d),Magnesium_UL (mg/d),Manganese_UL (mg/d),Molybdenum_UL (µg/d),Phosphorus_UL (mg/d),Potassium_UL (mg/d),Selenium_UL (µg/d),Zinc_UL (mg/d),Sodium_UL (mg/d),Chloride_UL (g/d)
Children 1-3 y,300.0,15.0,15.0,6.0,30.0,0.5,0.5,6.0,0.5,150.0,0.9,2.0,8.0,200.0,600.0,400,63.0,200,,,,10,30,300,,,,1.0,700.0,11.0,340.0,0.7,90.0,7.0,80.0,1.2,17.0,460.0,20.0,3.0,2000.0,800.0,1.5,2500.0,,1000,1.3,200,40.0,65,2,300,3,,90.0,7.0,,2.3
Children 4-8 y,400.0,25.0,15.0,7.0,55.0,0.6,0.6,8.0,0.6,200.0,1.2,3.0,12.0,250.0,900.0,650,75.0,300,,,,15,40,400,,,,1.0,1000.0,15.0,440.0,1.0,90.0,10.0,130.0,1.5,22.0,500.0,30.0,5.0,2300.0,1000.0,1.9,2500.0,,3000,2.2,300,40.0,110,3,600,3,,150.0,12.0,,2.9
Females 14-18 y,700.0,65.0,15.0,15.0,75.0,1.0,1.0,14.0,1.2,400.0,2.4,5.0,25.0,400.0,2800.0,1800,100.0,800,,,,30,80,800,,,,3.0,1300.0,24.0,890.0,3.0,150.0,15.0,360.0,1.6,43.0,1250.0,55.0,9.0,2300.0,1500.0,2.3,3000.0,,8000,10.0,900,45.0,350,9,1700,4,,400.0,34.0,,3.6
Females 19-30 y,700.0,75.0,15.0,15.0,90.0,1.1,1.1,14.0,1.3,400.0,2.4,5.0,30.0,425.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,25.0,900.0,3.0,150.0,18.0,310.0,1.8,45.0,700.0,55.0,8.0,2600.0,1500.0,2.3,2500.0,,10000,10.0,1100,45.0,350,11,2000,4,,400.0,40.0,,3.6
Females 31-50 y,700.0,75.0,15.0,15.0,90.0,1.1,1.1,14.0,1.3,400.0,2.4,5.0,30.0,425.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,25.0,900.0,3.0,150.0,18.0,320.0,1.8,45.0,700.0,55.0,8.0,2600.0,1500.0,2.3,2500.0,,10000,10.0,1100,45.0,350,11,2000,4,,400.0,40.0,,3.6
Females 51-70 y,700.0,75.0,15.0,15.0,90.0,1.1,1.1,14.0,1.5,400.0,2.4,5.0,30.0,425.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1200.0,20.0,900.0,3.0,150.0,8.0,320.0,1.8,45.0,700.0,55.0,8.0,2600.0,1500.0,2.0,2000.0,,10000,10.0,1100,45.0,350,11,2000,4,,400.0,40.0,,3.6
Females 9-13 y,600.0,45.0,15.0,11.0,60.0,0.9,0.9,12.0,1.0,300.0,1.8,4.0,20.0,375.0,1700.0,1200,100.0,600,,,,20,60,600,,,,2.0,1300.0,21.0,700.0,2.0,120.0,8.0,240.0,1.6,34.0,1250.0,40.0,8.0,2300.0,1200.0,2.3,3000.0,,5000,10.0,600,40.0,350,6,1100,4,,280.0,23.0,,3.4
Females > 70 y,700.0,75.0,20.0,15.0,90.0,1.1,1.1,14.0,1.5,400.0,2.4,5.0,30.0,425.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1200.0,20.0,900.0,3.0,150.0,8.0,320.0,1.8,45.0,700.0,55.0,8.0,2600.0,1500.0,1.8,2000.0,,10000,10.0,1100,45.0,350,11,2000,3,,400.0,40.0,,3.6
Infants 0-6 mo,400.0,40.0,10.0,4.0,2.0,0.2,0.3,2.0,0.1,65.0,0.4,1.7,5.0,125.0,600.0,,25.0,,,,,,,,,,,,200.0,0.2,200.0,0.01,110.0,0.27,30.0,0.003,2.0,100.0,15.0,2.0,400.0,110.0,0.18,1000.0,,,0.7,,40.0,,,,,,45.0,4.0,,
Infants 6-12 mo,500.0,50.0,10.0,5.0,2.5,0.3,0.4,4.0,0.3,80.0,0.5,1.8,6.0,150.0,600.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infants 7-12 mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,5.5,220.0,0.5,130.0,11.0,75.0,0.6,3.0,275.0,20.0,3.0,860.0,370.0,0.57,1500.0,,,0.9,,40.0,,,,,,60.0,5.0,,
Lactation 14-18 y,1200.0,115.0,15.0,19.0,75.0,1.4,1.6,17.0,2.0,500.0,2.8,7.0,35.0,550.0,2800.0,1800,100.0,800,,,,30,80,800,,,,3.0,1300.0,44.0,1300.0,3.0,290.0,10.0,360.0,2.6,50.0,1250.0,70.0,13.0,2500.0,1500.0,2.3,3000.0,,8000,10.0,900,45.0,350,9,1700,4,,400.0,34.0,,3.6
Lactation 19-30 y,1300.0,120.0,15.0,19.0,90.0,1.4,1.6,17.0,2.0,500.0,2.8,7.0,35.0,550.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,45.0,1300.0,3.0,290.0,9.0,310.0,2.6,50.0,700.0,70.0,12.0,2800.0,1500.0,2.3,2500.0,,10000,10.0,1100,45.0,350,11,2000,4,,400.0,40.0,,3.6
Lactation 31-50 y,1300.0,120.0,15.0,19.0,90.0,1.4,1.6,17.0,2.0,500.0,2.8,7.0,35.0,550.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,45.0,1300.0,3.0,290.0,9.0,320.0,2.6,50.0,700.0,70.0,12.0,2800.0,1500.0,2.3,2500.0,,10000,10.0,1100,45.0,350,11,2000,4,,400.0,40.0,,3.6
Males 14-18 y,900.0,75.0,15.0,15.0,75.0,1.2,1.3,16.0,1.3,400.0,2.4,5.0,25.0,550.0,2800.0,1800,100.0,800,,,,30,80,800,,,,3.0,1300.0,35.0,890.0,3.0,150.0,11.0,410.0,2.2,43.0,1250.0,55.0,11.0,3000.0,1500.0,2.3,3000.0,,8000,10.0,900,45.0,350,9,1700,4,,400.0,34.0,,3.6
Males 19-30 y,900.0,90.0,15.0,15.0,120.0,1.2,1.3,16.0,1.3,400.0,2.4,5.0,30.0,550.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,35.0,900.0,4.0,150.0,8.0,400.0,2.3,45.0,700.0,55.0,11.0,3400.0,1500.0,2.3,2500.0,,10000,10.0,1100,45.0,350,11,2000,4,,400.0,40.0,,3.6
Males 31-50 y,900.0,90.0,15.0,15.0,120.0,1.2,1.3,16.0,1.3,400.0,2.4,5.0,30.0,550.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,35.0,900.0,4.0,150.0,8.0,420.0,2.3,45.0,700.0,55.0,11.0,3400.0,1500.0,2.3,2500.0,,10000,10.0,1100,45.0,350,11,2000,4,,400.0,40.0,,3.6
Males 51-70 y,900.0,90.0,15.0,15.0,120.0,1.2,1.3,16.0,1.7,400.0,2.4,5.0,30.0,550.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,30.0,900.0,4.0,150.0,8.0,420.0,2.3,45.0,700.0,55.0,11.0,3400.0,1500.0,2.0,2000.0,,10000,10.0,1100,45.0,350,11,2000,4,,400.0,40.0,,3.6
Males 9-13 y,600.0,45.0,15.0,11.0,60.0,0.9,0.9,12.0,1.0,300.0,1.8,4.0,20.0,375.0,1700.0,1200,100.0,600,,,,20,60,600,,,,2.0,1300.0,25.0,700.0,2.0,120.0,8.0,240.0,1.9,34.0,1250.0,40.0,8.0,2500.0,1200.0,2.3,3000.0,,5000,10.0,600,40.0,350,6,1100,4,,280.0,23.0,,3.4
Males > 70 y,900.0,90.0,20.0,15.0,120.0,1.2,1.3,16.0,1.7,400.0,2.4,5.0,30.0,550.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1200.0,30.0,900.0,4.0,150.0,8.0,420.0,2.3,45.0,700.0,55.0,11.0,3400.0,1500.0,1.8,2000.0,,10000,10.0,1100,45.0,350,11,2000,3,,400.0,40.0,,3.6
Pregnancy 14-18 y,750.0,80.0,15.0,15.0,75.0,1.4,1.4,18.0,1.9,600.0,2.6,6.0,30.0,450.0,2800.0,1800,100.0,800,,,,30,80,800,,,,3.0,1300.0,29.0,1000.0,3.0,220.0,27.0,400.0,2.0,50.0,1250.0,60.0,12.0,2600.0,1500.0,2.3,3000.0,,8000,10.0,900,45.0,350,9,1700,3.5,,400.0,34.0,,3.6
Pregnancy 19-30 y,770.0,85.0,15.0,15.0,90.0,1.4,1.4,18.0,1.9,600.0,2.6,6.0,30.0,450.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,30.0,1000.0,3.0,220.0,27.0,350.0,2.0,50.0,700.0,60.0,11.0,2900.0,1500.0,2.3,2500.0,,10000,10.0,1100,45.0,350,11,2000,3.5,,400.0,40.0,,3.6
Pregnancy 31-50 y,770.0,85.0,15.0,15.0,90.0,1.4,1.4,18.0,1.9,600.0,2.6,6.0,30.0,450.0,3000.0,2000,100.0,1000,,,,35,100,1000,,,,3.5,1000.0,30.0,1000.0,3.0,220.0,27.0,360.0,2.0,50.0,700.0,60.0,11.0,2900.0,1500.0,2.3,2500.0,,10000,10.0,1100,45.0,350,11,2000,3.5,,400.0,40.0,,3.6
